"","Node","group","group_color"
"307","PATHWAY_PWY4FS_7._phosphatidylglycerol_biosynthesis_I_(plastidic)","None","#c7c7c7"
"308","PATHWAY_PWY4FS_8._phosphatidylglycerol_biosynthesis_II_(non_plastidic)","None","#c7c7c7"
"309","PATHWAY_PWY4LZ_257._superpathway_of_fermentation_(Chlamydomonas_reinhardtii)","None","#c7c7c7"
"310","PATHWAY_PWY66_398._TCA_cycle_III_(animals)","None","#c7c7c7"
"311","PATHWAY_PWY66_399._gluconeogenesis_III","None","#c7c7c7"
"312","PATHWAY_PWY66_400._glycolysis_VI_(metazoan)","None","#c7c7c7"
"313","PATHWAY_PWY66_409._superpathway_of_purine_nucleotide_salvage","Up_PDvBoth","#98df8a"
"314","PATHWAY_PWY66_422._D_galactose_degradation_V_(Leloir_pathway)","None","#c7c7c7"
"315","PATHWAY_PWYG_321._mycolate_biosynthesis","None","#c7c7c7"
"316","PATHWAY_PYRIDNUCSAL_PWY._NAD_salvage_pathway_I","Up_PDvBoth","#98df8a"
"317","PATHWAY_PYRIDNUCSYN_PWY._NAD_biosynthesis_I_(from_aspartate)","None","#c7c7c7"
"318","PATHWAY_PYRIDOXSYN_PWY._pyridoxal_5_phosphate_biosynthesis_I","None","#c7c7c7"
"319","PATHWAY_REDCITCYC._TCA_cycle_VIII_(helicobacter)","None","#c7c7c7"
"320","PATHWAY_RHAMCAT_PWY._L_rhamnose_degradation_I","None","#c7c7c7"
"321","PATHWAY_RIBOSYN2_PWY._flavin_biosynthesis_I_(bacteria_and_plants)","None","#c7c7c7"
"322","PATHWAY_SALVADEHYPOX_PWY._adenosine_nucleotides_degradation_II","None","#c7c7c7"
"323","PATHWAY_SER_GLYSYN_PWY._superpathway_of_L_serine_and_glycine_biosynthesis_I","None","#c7c7c7"
"324","PATHWAY_SO4ASSIM_PWY._sulfate_reduction_I_(assimilatory)","None","#c7c7c7"
"325","PATHWAY_SULFATE_CYS_PWY._superpathway_of_sulfate_assimilation_and_cysteine_biosynthesis","None","#c7c7c7"
"326","PATHWAY_TCA_GLYOX_BYPASS._superpathway_of_glyoxylate_bypass_and_TCA","Up_PDvBoth","#98df8a"
"327","PATHWAY_TCA._TCA_cycle_I_(prokaryotic)","None","#c7c7c7"
"328","PATHWAY_THISYN_PWY._superpathway_of_thiamin_diphosphate_biosynthesis_I","Up_PDvPC","#ffbb78"
"329","PATHWAY_THISYNARA_PWY._superpathway_of_thiamin_diphosphate_biosynthesis_III_(eukaryotes)","None","#c7c7c7"
"330","PATHWAY_THRESYN_PWY._superpathway_of_L_threonine_biosynthesis","Up_PDvHC","#aec7e8"
"331","PATHWAY_TRNA_CHARGING_PWY._tRNA_charging","None","#c7c7c7"
"332","PATHWAY_TRPSYN_PWY._L_tryptophan_biosynthesis","None","#c7c7c7"
"333","PATHWAY_UBISYN_PWY._superpathway_of_ubiquinol_8_biosynthesis_(prokaryotic)","None","#c7c7c7"
"334","PATHWAY_UDPNAGSYN_PWY._UDP_N_acetyl_D_glucosamine_biosynthesis_I","Up_PDvHC","#aec7e8"
"335","PATHWAY_URDEGR_PWY._superpathway_of_allantoin_degradation_in_plants","None","#c7c7c7"
"336","PATHWAY_VALSYN_PWY._L_valine_biosynthesis","None","#c7c7c7"
"337","donor_group_HC","Donor_Group","#d62728"
"338","donor_group_PC","Donor_Group","#d62728"
"339","donor_group_PD","Donor_Group","#d62728"
