metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
description	s__Alistipes_shahii	Household Control	0.0163138561992549	0.0148252586163734	58	37	0.280524520584042	0.525943249445563
description	s__Ruminococcus_gnavus	Household Control	-0.0200893811282491	0.0183115570183343	58	21	0.281948958465663	0.525943249445563
description	s__Dialister_invisus	Household Control	0.00893454349630663	0.00811951650389528	58	13	0.280537700743715	0.525943249445563
description	s__Desulfovibrio_desulfuricans	Household Control	-0.00543862803005991	0.00492597987176639	58	13	0.274284230760292	0.525943249445563
description	s__Eubacterium_eligens	Household Control	0.016791310489456	0.0161903726281676	58	44	0.308555430779858	0.564714656332948
description	s__Lachnospiraceae_bacterium_7_1_58FAA	Household Control	-0.0049042544941609	0.00489291884194332	58	46	0.320502120706628	0.575716772380424
description	s__Odoribacter_unclassified	Household Control	-0.00511186518885376	0.00525912608711364	58	13	0.339373621590599	0.598531659896148
description	s__Ruminococcus_callidus	Household Control	0.00425397557975455	0.00484421051762908	58	14	0.3873322973587	0.670914872210605
description	s__Eggerthella_unclassified	Household Control	-0.00415929277360582	0.0049525665808411	58	21	0.408120070890415	0.694520120638074
description	s__Dorea_formicigenerans	Household Control	0.00468246074726941	0.0058370447350609	58	43	0.429195287632916	0.717792118972291
description	s__Clostridium_leptum	Household Control	-0.00485593214381148	0.00632991531784312	58	24	0.446220531780014	0.733616806485785
description	s__Dorea_longicatena	Household Control	-0.00685060428489252	0.00906080699618184	58	43	0.455921579854706	0.737073220765108
description	s__Flavonifractor_plautii	Household Control	-0.00185338506144124	0.00258404075680168	58	19	0.479165393936296	0.761951528062634
description	s__Alistipes_senegalensis	Household Control	-0.00330691962490036	0.00482185132050105	58	24	0.498466652475467	0.779859117582586
description	s__Bacteroides_faecis	Household Control	0.00755316296354359	0.0118652175718875	58	18	0.52956855814354	0.794829160276149
description	s__Coprobacter_fastidiosus	Household Control	-0.00418141150151216	0.00693543717184003	58	14	0.54900570864435	0.794829160276149
description	s__Parabacteroides_merdae	Household Control	-0.0168607901249959	0.0272640870227271	58	39	0.541293847280141	0.794829160276149
description	s__Clostridium_bartlettii	Household Control	0.00263778815143195	0.00426199460638371	58	20	0.540979227961517	0.794829160276149
description	s__Anaerotruncus_unclassified	Household Control	-0.00293853738622738	0.0046594224299626	58	14	0.530824671213767	0.794829160276149
description	s__Clostridium_symbiosum	Household Control	-0.00343652453947841	0.00594704342033725	58	12	0.567981007478973	0.796307990890218
description	s__Lachnospiraceae_bacterium_5_1_63FAA	Household Control	0.0044881129655593	0.00795033023640516	58	39	0.574655251157889	0.796307990890218
description	s__Haemophilus_parainfluenzae	Household Control	-0.00863246278459112	0.0150812269692189	58	12	0.569343405139142	0.796307990890218
description	s__Alistipes_indistinctus	Household Control	-0.00755204584315919	0.0141845501135344	58	33	0.598639686378967	0.817859853221969
description	s__Adlercreutzia_equolifaciens	Household Control	-0.00176663065440715	0.00403811400247593	58	18	0.663439380146292	0.826690379013478
description	s__Bacteroides_cellulosilyticus	Household Control	-0.0096973675525298	0.0227577704123262	58	33	0.673283916928503	0.826690379013478
description	s__Bacteroides_nordii	Household Control	-0.00227170965776006	0.00449911035063536	58	18	0.617563259181187	0.826690379013478
description	s__Bacteroides_vulgatus	Household Control	0.0204663680920871	0.0432440270945996	58	47	0.639685214607982	0.826690379013478
description	s__Alistipes_onderdonkii	Household Control	-0.0144201288391032	0.0313917527629761	58	45	0.649521943439261	0.826690379013478
description	s__Dorea_unclassified	Household Control	-0.0015932350458059	0.00355903606021321	58	13	0.656126171565377	0.826690379013478
description	s__Ruminococcaceae_bacterium_D16	Household Control	-0.0022974591434253	0.00535439486250225	58	14	0.669511870932549	0.826690379013478
description	s__Ruminococcus_bromii	Household Control	-0.011069601982727	0.0245682409195534	58	35	0.655772405079835	0.826690379013478
description	s__Bacteroides_eggerthii	Household Control	-0.0115391534047856	0.0300202408024186	58	16	0.703601355230068	0.84394282167133
description	s__Roseburia_unclassified	Household Control	0.00257800383691392	0.00673404636300895	58	17	0.704735758302863	0.84394282167133
description	s__Sutterella_wadsworthensis	Household Control	0.0025099988505885	0.00721801087021533	58	14	0.730635276135811	0.864288070550899
description	s__Bacteroides_uniformis	Household Control	0.0132207598516906	0.0472722426436726	58	50	0.781784215919982	0.913651433063111
description	s__Ruminococcus_torques	Household Control	0.00431084487881197	0.0162102439954317	58	56	0.792238945682992	0.914847353943455
description	s__Barnesiella_intestinihominis	Household Control	0.00491594133796937	0.0222178973141269	58	33	0.826495333057261	0.932881660381259
description	s__Ruminococcus_obeum	Household Control	-0.00195220970075923	0.00889557981706528	58	53	0.827090956626683	0.932881660381259
description	s__Bacteroides_fragilis	Household Control	0.00439993135351228	0.0288168633195542	58	27	0.879740892417597	0.962921439945037
description	s__Bacteroidales_bacterium_ph8	Household Control	-0.00191852386087677	0.0139489229120196	58	38	0.891588897575104	0.962921439945037
description	s__Coprococcus_catus	Household Control	-0.000612930586302545	0.00496844827561683	58	31	0.902260103845539	0.962921439945037
